title,location,url,pre_comp_chars,flag_count,flags
Software Engineer - Simulation & Robotics Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/7a8f3e6c-d576-41af-a81e-bf4fe20da12a/?gh_jid=7a8f3e6c-d576-41af-a81e-bf4fe20da12a,3474,3,empty-p(2); uses-heading-tag(h3); mixed-casing(Title+Sentence)
Software Engineer - Simulation & Robotics Engineer,"Zurich, Switzerland - Full-time",https://www.skydio.com/jobs/abd4addb-2d11-4207-b3a2-446a09121e39/?gh_jid=abd4addb-2d11-4207-b3a2-446a09121e39,3474,3,empty-p(2); uses-heading-tag(h3); mixed-casing(Title+Sentence)
"Staff Software Engineer, Full Stack","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/379b23ea-14ff-4602-9b79-52d00bb96fda/?gh_jid=379b23ea-14ff-4602-9b79-52d00bb96fda,4374,3,mixed-casing(Title+Sentence); mixed-trailing-punct((none)/:); mixed-bold-styles(whole+prefix)
Success Systems Specialist,US Remote - Full-time,https://www.skydio.com/jobs/8de95d05-a601-47e2-8a13-5ba4d7ad428a/?gh_jid=8de95d05-a601-47e2-8a13-5ba4d7ad428a,5478,3,empty-p(1); mixed-casing(Title+Sentence); mixed-trailing-punct((none)/:)
Technical Support Specialist - West Coast,US Remote - Full-time,https://www.skydio.com/jobs/3ac81a34-b7fe-4142-9d29-12bcc1376182/?gh_jid=3ac81a34-b7fe-4142-9d29-12bcc1376182,4265,3,mixed-trailing-punct((none)/:); glued-heading-and-body; mixed-bold-styles(whole+prefix)
Autonomy Engineer - Deep Learning Infrastructure,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/dcb04687-9b4f-425d-8c37-1111cf3ccf3d/?gh_jid=dcb04687-9b4f-425d-8c37-1111cf3ccf3d,3382,2,BR-paragraphs(1); empty-p(1)
Autonomy Software Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/a48fe41b-030b-4f11-bf25-df7446151854/?gh_jid=a48fe41b-030b-4f11-bf25-df7446151854,2795,2,BR-paragraphs(1); glued-heading-and-body
Aviation Compliance Lead,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/b9f9047b-1555-4978-9bff-70eae58a6b17/?gh_jid=b9f9047b-1555-4978-9bff-70eae58a6b17,2896,2,empty-p(1); uses-heading-tag(h2)
Aviation Regulatory Program Manager,US Remote - Full-time,https://www.skydio.com/jobs/d73ae64d-5877-4ab6-ad42-0224702f3fba/?gh_jid=d73ae64d-5877-4ab6-ad42-0224702f3fba,3520,2,empty-p(2); uses-heading-tag(h2)
Communications Manager,US Remote - Full-time,https://www.skydio.com/jobs/50567d8d-2903-494f-8e08-7c8ca734dc3a/?gh_jid=50567d8d-2903-494f-8e08-7c8ca734dc3a,3105,2,empty-p(3); uses-heading-tag(h2)
"Customer Success Manager, DFR Majors - Northeast",US Remote - Full-time,https://www.skydio.com/jobs/23721f25-7d5f-45fa-a5fe-d58f9680e1ef/?gh_jid=23721f25-7d5f-45fa-a5fe-d58f9680e1ef,3469,2,glued-heading-and-body; mixed-bold-styles(whole+prefix)
Deployment Coordinator,US Remote - Full-time,https://www.skydio.com/jobs/3d4cd6a4-ce4c-4df6-9002-93019d93784e/?gh_jid=3d4cd6a4-ce4c-4df6-9002-93019d93784e,3020,2,empty-p(4); uses-heading-tag(h2)
Electric Motor / Propulsion Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/847c1abe-b3b6-4e97-bc0e-e3f46437287a/?gh_jid=847c1abe-b3b6-4e97-bc0e-e3f46437287a,1915,2,glued-heading-and-body; mixed-bold-styles(whole+prefix)
Production Supervisor,"Hayward, California, United States - Full-time",https://www.skydio.com/jobs/90771bb1-f860-4b49-90ef-3a15bcd1fada/?gh_jid=90771bb1-f860-4b49-90ef-3a15bcd1fada,2029,2,BR-paragraphs(1); empty-p(1)
"Program Leader, Law Enforcement & Public Safety Training","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/cedc0320-0238-4fc0-89b9-8d580ada556d/?gh_jid=cedc0320-0238-4fc0-89b9-8d580ada556d,3796,2,glued-heading-and-body; mixed-bold-styles(whole+prefix)
"Program Manager, Major Deployments (Hawaii)","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/b194dcda-7ff0-4d44-9785-16895a44727f/?gh_jid=b194dcda-7ff0-4d44-9785-16895a44727f,4181,2,empty-p(3); mixed-casing(Title+Sentence)
"Program Manager, Major Deployments (Mid Atlantic)",US Remote - Full-time,https://www.skydio.com/jobs/c2651b2d-14c5-4bf7-9a35-90b3c939af10/?gh_jid=c2651b2d-14c5-4bf7-9a35-90b3c939af10,4238,2,empty-p(3); mixed-casing(Title+Sentence)
"Program Manager, Major Deployments (South East)",US Remote - Full-time,https://www.skydio.com/jobs/28bb232f-54c4-486b-9bdb-c7855d04661d/?gh_jid=28bb232f-54c4-486b-9bdb-c7855d04661d,4201,2,empty-p(3); mixed-casing(Title+Sentence)
Sales Planning Analyst Intern,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/712900e5-ff75-4e07-8f88-626d4f8ab653/?gh_jid=712900e5-ff75-4e07-8f88-626d4f8ab653,2914,2,empty-p(1); glued-heading-and-body
Senior Autonomy Engineer - Data Curation,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/562c2e8f-c366-4149-945e-0f42f4264b5f/?gh_jid=562c2e8f-c366-4149-945e-0f42f4264b5f,3159,2,empty-p(4); mixed-casing(Title+Sentence)
