title,location,url,pre_comp_chars,flag_count,flags
Sr/Staff Embedded Software Engineer - Camera Systems,"Tampere, Finland - Full-time",https://www.skydio.com/jobs/898a9c77-cc20-4ed6-a050-f68e5c15d5c8/?gh_jid=898a9c77-cc20-4ed6-a050-f68e5c15d5c8,2833,1,empty-p(4)
"Staff Product Manager, Cameras & Sensors","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/21f27933-a8cb-421f-997f-9d865d372833/?gh_jid=21f27933-a8cb-421f-997f-9d865d372833,3975,1,mixed-trailing-punct((none)/:)
Staff Technical Recruiter,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/c3a4256a-4525-443c-81d0-6f69e7c24805/?gh_jid=c3a4256a-4525-443c-81d0-6f69e7c24805,3002,1,underline(1)
"Supplier Quality Engineer, Sustaining",Taiwan - Full-time,https://www.skydio.com/jobs/4c4874bf-02da-4ccc-8918-2cca08feaf21/?gh_jid=4c4874bf-02da-4ccc-8918-2cca08feaf21,4066,1,empty-p(1)
Supply Chain Intern,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/2d21f482-3224-4906-a1bb-6a64436774cb/?gh_jid=2d21f482-3224-4906-a1bb-6a64436774cb,1655,1,BR-paragraphs(1)
Wireless Hardware Engineer Intern,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/5e1057a4-214f-4783-b676-c1315cfa81ea/?gh_jid=5e1057a4-214f-4783-b676-c1315cfa81ea,2611,1,BR-paragraphs(1)
Autonomy Engineer - Deep Learning,"Zurich, Switzerland - Full-time",https://www.skydio.com/jobs/ae12de71-0010-49d3-b171-c0b257e3b6c1/?gh_jid=ae12de71-0010-49d3-b171-c0b257e3b6c1,2574,0,(clean)
Autonomy Engineer - Deep Learning,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/cc83824e-a1cd-4bc7-9206-7264da9fbd61/?gh_jid=cc83824e-a1cd-4bc7-9206-7264da9fbd61,2573,0,(clean)
Autonomy Engineer - Fixed Wing Planning & Controls,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/20754382-05e7-4cb6-a0f9-0daf9338ba78/?gh_jid=20754382-05e7-4cb6-a0f9-0daf9338ba78,1789,0,(clean)
Autonomy Engineer Intern - Computer Vision/Deep Learning Fall 2026,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/c84945f0-b8e0-4272-b636-265d6611a8eb/?gh_jid=c84945f0-b8e0-4272-b636-265d6611a8eb,2210,0,(clean)
Autonomy Engineer Intern - Deep Learning (Computational Photography),"Zurich, Switzerland or Tampere, Finland - Intern",https://www.skydio.com/jobs/6280ab1d-147d-4f39-8618-a216c18ce0f9/?gh_jid=6280ab1d-147d-4f39-8618-a216c18ce0f9,4082,0,(clean)
Autonomy Engineer Intern - Deep Learning (Computational Photography),"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/d13e3179-e646-4873-84a6-d492a692bc25/?gh_jid=d13e3179-e646-4873-84a6-d492a692bc25,4082,0,(clean)
Autonomy Engineer Intern Fall 2026,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/17f6173b-c96f-4b02-a6b5-da0a91ad95e5/?gh_jid=17f6173b-c96f-4b02-a6b5-da0a91ad95e5,1866,0,(clean)
Electrical Engineer (Sustaining/Validation),"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/8e50c7da-2868-4383-af1f-920584d537fc/?gh_jid=8e50c7da-2868-4383-af1f-920584d537fc,2083,0,(clean)
Engineering Manager - Autonomy,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/849ae77c-5ca2-42b5-812b-8b3ad4524a89/?gh_jid=849ae77c-5ca2-42b5-812b-8b3ad4524a89,2358,0,(clean)
"Enterprise Account Manager, US Army",US Remote - Full-time,https://www.skydio.com/jobs/19559b4c-ed09-41eb-b1aa-f000a855b8fe/?gh_jid=19559b4c-ed09-41eb-b1aa-f000a855b8fe,3474,0,(clean)
Field Support Representative,US Remote - Full-time,https://www.skydio.com/jobs/b053b0e2-005c-4e77-95f3-26c7354e6095/?gh_jid=b053b0e2-005c-4e77-95f3-26c7354e6095,3730,0,(clean)
Hardware Test and Reliability Intern,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/4a1441bf-6979-46d0-a466-d9b8fd0a9762/?gh_jid=4a1441bf-6979-46d0-a466-d9b8fd0a9762,2803,0,(clean)
PhD Autonomy Engineer Intern - Deep Learning or Computer Vision,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/8d3979a8-c791-4825-8cf4-9b25479b9519/?gh_jid=8d3979a8-c791-4825-8cf4-9b25479b9519,2257,0,(clean)
RF Design Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/f72f1fa5-d3d6-459e-8722-a94ce92ad1c8/?gh_jid=f72f1fa5-d3d6-459e-8722-a94ce92ad1c8,2699,0,(clean)
Senior Autonomy Engineer - Controls,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/58b4cdf6-5630-4dd0-aab3-a1ed4d599466/?gh_jid=58b4cdf6-5630-4dd0-aab3-a1ed4d599466,1705,0,(clean)
Senior Hardware Test and Reliability Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/c0e49670-51ca-461c-b0e2-4a06df01f692/?gh_jid=c0e49670-51ca-461c-b0e2-4a06df01f692,3910,0,(clean)
Senior Software Engineer - Embedded,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/67a7d89f-9c4e-4f60-bdf1-a60b8addd8ae/?gh_jid=67a7d89f-9c4e-4f60-bdf1-a60b8addd8ae,2402,0,(clean)
Senior Software Engineer - Security,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/bcd3d614-178c-4349-afd4-76476211b7fe/?gh_jid=bcd3d614-178c-4349-afd4-76476211b7fe,2979,0,(clean)
Senior Wireless Systems Performance Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/f1ecf164-714c-4f1a-b672-d763f5724c03/?gh_jid=f1ecf164-714c-4f1a-b672-d763f5724c03,2726,0,(clean)
Software Engineer - Embedded,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/ef9f7dd2-5a88-49b4-a507-d5fc9cad565a/?gh_jid=ef9f7dd2-5a88-49b4-a507-d5fc9cad565a,2402,0,(clean)
Staff Software Engineer - Embedded,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/b3b2dea9-63bb-4adb-ba29-69bd8f7a18eb/?gh_jid=b3b2dea9-63bb-4adb-ba29-69bd8f7a18eb,2401,0,(clean)
Systems Integration and Test Engineer (Mid to Senior Level),"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/a1a60b27-53a8-455e-b467-712e01c532dc/?gh_jid=a1a60b27-53a8-455e-b467-712e01c532dc,3914,0,(clean)
Wireless Software Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/04fde92b-6a2b-4638-adc2-e8fa91cc1a49/?gh_jid=04fde92b-6a2b-4638-adc2-e8fa91cc1a49,2818,0,(clean)
