title,location,url,section_header_style,about_label,impact_label,fit_label,word_count,li_total,ul_count,empty_paragraphs,br_tags,inline_styles,em_or_i_count,preamble_present
Lead Staff Electrical Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/1bbcf144-7057-4a6e-9d51-4924bfda52b9/?gh_jid=1bbcf144-7057-4a6e-9d51-4924bfda52b9,p>strong,About the role: We are looking for a Lead Electrical Enginee…,About the role: We are looking for a Lead Electrical Enginee…,What makes you a good fit,318,15,2,2,1,0,0,True
"Manager, Logistics","Hayward, California, United States - Full-time",https://www.skydio.com/jobs/eeb4b52f-d4e6-4823-9e4b-0ce75041d928/?gh_jid=eeb4b52f-d4e6-4823-9e4b-0ce75041d928,p>strong,About the role,How you will make an impact,What makes you a good fit,446,23,3,2,0,1,0,True
"Manager, Technical Support","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/2b312ffb-26c3-4b7f-8904-acbc4e51934b/?gh_jid=2b312ffb-26c3-4b7f-8904-acbc4e51934b,p>strong,About the team,"Location: This is an office or remote-based position, one ba…",What makes you a good fit,780,22,2,0,0,0,0,True
Middleware Software Engineer Intern - Fall 2026,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/7d9dbb60-4ca1-4ba8-8bae-5ebfded4a915/?gh_jid=7d9dbb60-4ca1-4ba8-8bae-5ebfded4a915,p>strong,About the role,How you'll make an impact,What makes you a good fit,333,11,2,0,0,0,0,True
Mission Success Operations Manager,US Remote - Full-time,https://www.skydio.com/jobs/501a3067-e906-4354-b211-ac70db6accf4/?gh_jid=501a3067-e906-4354-b211-ac70db6accf4,p>strong,About the Team,How you’ll make an impact,What makes you a good fit,452,17,4,0,0,0,0,True
PCB Layout Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/eb2f4124-9bd6-49f9-9636-03152c573f7d/?gh_jid=eb2f4124-9bd6-49f9-9636-03152c573f7d,p>strong,About the role,,What makes you a good fit,346,12,2,0,2,0,0,True
PhD Autonomy Engineer Intern - Deep Learning or Computer Vision,"Zurich, Switzerland - Intern",https://www.skydio.com/jobs/c783c8dd-f604-47d0-aae0-187af89c81b4/?gh_jid=c783c8dd-f604-47d0-aae0-187af89c81b4,p>strong,About the role,How you'll make an impact,What makes you a strong fit,456,9,3,0,1,0,0,True
PhD Autonomy Engineer Intern - Deep Learning or Computer Vision,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/8d3979a8-c791-4825-8cf4-9b25479b9519/?gh_jid=8d3979a8-c791-4825-8cf4-9b25479b9519,p>strong,About the role,How you'll make an impact,What makes you a strong fit,342,9,3,0,1,0,0,True
Product Design Engineer (All Levels),"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/3f02ead1-8efe-4e3f-9c75-625e74ab57d1/?gh_jid=3f02ead1-8efe-4e3f-9c75-625e74ab57d1,p>strong,About the role: Skydio’s mechanical systems are the backbone…,About the role: Skydio’s mechanical systems are the backbone…,What makes you a good fit,448,16,2,0,1,0,0,True
Product Support Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/a4f131a0-4dde-46ce-85a1-c83fc3e0f21e/?gh_jid=a4f131a0-4dde-46ce-85a1-c83fc3e0f21e,p>strong,About the role : Skydio is looking for a highly motivated in…,About the role : Skydio is looking for a highly motivated in…,About the role : Skydio is looking for a highly motivated in…,581,22,2,2,2,0,0,True
Product Support Engineer Intern,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/8df0689e-a489-4c72-a1f7-09dfe59745b8/?gh_jid=8df0689e-a489-4c72-a1f7-09dfe59745b8,p>strong,About the role : Skydio is looking for a highly motivated in…,About the role : Skydio is looking for a highly motivated in…,About the role : Skydio is looking for a highly motivated in…,441,15,2,3,2,0,0,True
"Program Manager, Commercial Programs",US AR Remote - Full-time,https://www.skydio.com/jobs/29ee46f0-d9ea-4a59-a671-3bb024450d04/?gh_jid=29ee46f0-d9ea-4a59-a671-3bb024450d04,p>strong,About the Role,"Location: Bentonville, Arkansas (On-site / Hybrid) What You'll Work On",Requirements,450,21,3,5,0,0,0,True
"Program Manager, Major Deployments (Hawaii)","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/b194dcda-7ff0-4d44-9785-16895a44727f/?gh_jid=b194dcda-7ff0-4d44-9785-16895a44727f,p>strong,About the role,How you'll make an impact,What Makes You A Good Fit,596,14,2,3,0,0,0,True
