title,location,type,url,word_count,found_compensation_block,cut_signal,uses_real_headings,real_heading_tag_breakdown,uses_bold_pseudo_headings,bold_pseudo_heading_count,heading_colon_style,paragraph_count,ul_count,ol_count,li_total,br_count,italic_count,underline_count,link_count,uses_c_link_class,inline_style_count,emoji_in_body,section_labels
Software Engineer - Cloud Simulation & Full-Stack,"Zurich, Switzerland",Full-time,https://www.skydio.com/jobs/50dad059-b43b-4be1-84ab-2c350a68848f,555,False,li_slug,True,h2=5,False,0,n/a,6,4,0,26,0,0,0,4,False,0,False,text
Software Engineer - Cloud Simulation & Full-Stack,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/7d7dfadc-c6fd-4958-8d59-004a91bff55e,552,True,compensation,True,h2=5,False,0,n/a,5,4,0,26,0,0,0,0,False,0,False,text
Software Engineer - Embedded,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/ef9f7dd2-5a88-49b4-a507-d5fc9cad565a,353,True,compensation,False,,True,4,all-colon,6,3,0,17,0,0,0,4,True,0,False,About the role: | About the team: | How you'll make an impact: | What makes you a good fit:
Software Engineer - Infrastructure,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/cb958101-ede8-4f50-bf30-b3272d33f25f,398,True,compensation,False,,True,3,all-colon,6,3,0,13,0,0,0,4,False,0,False,Bonus points: | How you'll make an impact: | What makes you a good fit:
Software Engineer - Simulation & Robotics Engineer,"Zurich, Switzerland",Full-time,https://www.skydio.com/jobs/3193c6ab-27d2-4558-8ad8-1d3a1512ab72,485,False,li_slug,True,h3=5,False,0,n/a,6,4,0,20,0,0,0,4,False,0,False,text
Software Engineer - Simulation & Robotics Engineer,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/7a8f3e6c-d576-41af-a81e-bf4fe20da12a,482,True,compensation,True,h3=5,False,0,n/a,6,4,0,20,0,0,0,0,False,0,False,text
Software Engineer Intern Fall 2026/Winter 2027,"San Mateo, California, United States",Intern,https://www.skydio.com/jobs/f6320e9b-4eed-408d-8d37-d509fb0406ee,369,True,compensation,False,,True,1,all-colon,7,3,0,12,4,0,0,4,False,0,False,What makes you a good fit:
"Software Engineer, Full Stack","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/067e1f47-9fba-4abf-b986-874d4d569706,323,True,compensation,False,,True,4,all-colon,8,3,0,13,0,0,0,4,False,0,False,About the role: | Bonus Points: | How you'll make an impact: | What would make you a good fit:
Sr/Staff Embedded Software Engineer - Camera Systems,"Tampere, Finland",Full-time,https://www.skydio.com/jobs/898a9c77-cc20-4ed6-a050-f68e5c15d5c8,394,True,compensation,False,,True,4,all-colon,10,2,0,18,0,0,0,4,False,0,False,About the Role: | About the Team: | How You'll Make an Impact: | What Makes You a Good Fit:
"Staff Global Supply Manager,  Mechanicals","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/2ffe6453-4a2f-4dfb-94f8-882f731a11ae,546,True,compensation,False,,True,3,all-colon,7,2,0,17,1,0,0,0,False,0,False,About the role: | How you'll make an impact: | What makes you a good fit:
"Staff Product Manager, Platform & Infrastructure","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/dbd737b2-beed-4917-9948-dde4250929a8,786,True,compensation,False,,True,3,mixed,14,2,0,15,1,0,0,4,False,0,False,How you'll make an impact: | Location | What would make you a strong fit:
Staff Software Engineer - Embedded,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/b3b2dea9-63bb-4adb-ba29-69bd8f7a18eb,353,True,compensation,False,,True,4,all-colon,6,3,0,17,0,0,0,4,True,0,False,About the role: | About the team: | How you'll make an impact: | What makes you a good fit:
"Staff Software Engineer, Frontend","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/54654035-a78a-4e5b-9ebf-ae4067e5a246,509,False,li_slug,False,,True,4,all-colon,10,3,0,15,0,0,0,4,False,0,False,About the role: | Bonus Points: | How you'll make an impact: | What makes you a good fit:
"Staff Software Engineer, Full Stack","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/379b23ea-14ff-4602-9b79-52d00bb96fda,613,True,compensation,False,,True,3,all-colon,9,3,0,16,0,0,0,0,False,0,False,Bonus points for: | How you'll make an impact: | What would make you a good fit:
Staff Technical Recruiter,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/c3a4256a-4525-443c-81d0-6f69e7c24805,430,True,compensation,False,,True,3,all-colon,6,2,0,15,0,0,1,4,True,0,False,About the role: | How you'll make an impact: | What makes you a good fit:
Success Systems Specialist,US Remote,Full-time,https://www.skydio.com/jobs/8de95d05-a601-47e2-8a13-5ba4d7ad428a,729,True,compensation,False,,True,8,mixed,13,6,0,28,0,0,0,0,False,0,False,About the Role: | Build Automation & Intelligence into Mission Success | Cross-Functional Architecture & Governance | Customer Digital Experience | How You'll Make an Impact: | Scalability & Cost Avoidance | What makes you a good fit: | Why This Role Matters Now:
"Supplier Quality Engineer, Sustaining",Taiwan,Full-time,https://www.skydio.com/jobs/4c4874bf-02da-4ccc-8918-2cca08feaf21,455,False,li_slug,False,,True,3,all-colon,7,2,0,13,0,0,0,4,False,0,False,About the role: | How you'll make an impact: | What makes you a good fit:
Supply Chain Intern,"San Mateo, California, United States",Intern,https://www.skydio.com/jobs/2d21f482-3224-4906-a1bb-6a64436774cb,229,True,compensation,False,,True,2,all-colon,5,2,0,8,3,0,0,0,False,0,False,About the role: | What makes you a good fit:
Systems Integration and Test Engineer (Mid to Senior Level),"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/a1a60b27-53a8-455e-b467-712e01c532dc,668,False,li_slug,False,,True,3,all-colon,9,2,0,14,5,0,0,0,False,0,False,About the role: | How you will make an impact: | Useful skills and experience:
Wireless Software Engineer,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/04fde92b-6a2b-4638-adc2-e8fa91cc1a49,400,True,compensation,False,,True,3,all-colon,5,2,0,12,0,0,0,4,False,0,False,About the role: | How you'll make an impact: | What makes you a good fit:
Workplace Experience Coordinator Part-Time,"Zurich, Switzerland",Part-time,https://www.skydio.com/jobs/d023afe5-f19f-42f7-a1dd-aa94a361b86f,376,False,eeo_diversity,False,,True,5,mixed,11,4,0,20,1,0,0,4,False,0,False,How you'll make an impact: | People Operations & HR Coordination | Qualifications | Work Environment | Workplace Experience & Office Operations
