title,location,type,url,word_count,found_compensation_block,cut_signal,uses_real_headings,real_heading_tag_breakdown,uses_bold_pseudo_headings,bold_pseudo_heading_count,heading_colon_style,paragraph_count,ul_count,ol_count,li_total,br_count,italic_count,underline_count,link_count,uses_c_link_class,inline_style_count,emoji_in_body,section_labels
Aviation Regulatory Program Manager,US Remote,Full-time,https://www.skydio.com/jobs/d73ae64d-5877-4ab6-ad42-0224702f3fba,493,True,compensation,True,h2=3,False,0,n/a,8,2,0,16,0,0,0,0,False,0,False,text
Communications Manager,US Remote,Full-time,https://www.skydio.com/jobs/50567d8d-2903-494f-8e08-7c8ca734dc3a,425,True,compensation,True,h2=3,False,0,n/a,5,2,0,12,0,0,0,4,False,0,False,text
"Customer Success Manager, DFR Majors - Northeast",US Remote,Full-time,https://www.skydio.com/jobs/23721f25-7d5f-45fa-a5fe-d58f9680e1ef,499,True,compensation,False,,True,4,all-colon,8,2,0,19,0,0,0,0,False,0,False,About the Team: | About the role: | How you'll make an impact: | What makes you a good fit:
"Customer Success Manager, DFR Majors - Southeast",US Remote,Full-time,https://www.skydio.com/jobs/3d4ac015-a6db-4a8d-9fec-557eb92eaf8d,496,True,compensation,False,,True,5,mixed,9,3,0,19,0,0,0,4,False,0,False,About the Team: | About the role: | How you'll make an impact: | Requirements | What makes you a good fit:
"Customer Success Manager, DFR Mid-Market - Northeast",US Remote,Full-time,https://www.skydio.com/jobs/5c7a2b78-99d8-44f4-8c51-258c331a331d,508,True,compensation,False,,True,5,mixed,14,3,0,18,0,0,0,4,False,0,False,About the Team: | About the role: | Experience & Skills | How you'll make an impact: | Requirements
Deployment Engineer - Southeast,US Remote,Full-time,https://www.skydio.com/jobs/6138ba1c-c048-407d-9ea2-7b51a3d38756,595,True,compensation,False,,True,5,all-colon,12,3,0,23,0,0,0,4,False,0,False,About the Team: | About the role: | How you'll make an impact: | Nice to have: | What makes you a good fit:
"Director of Product Management, Drone as First Responder (DFR)","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/129a5bad-ca1d-4eda-843b-96f4581f3c43,601,True,compensation,False,,True,2,all-colon,4,3,0,20,4,0,0,4,False,0,False,Bonus points for: | What makes you a good fit:
"Director, Global Supply Management - Mechanicals","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/eb7fbbdb-3346-4f7f-a202-8bfd3441217a,612,True,compensation,False,,True,3,all-colon,26,0,0,0,0,0,0,4,False,0,False,About the role: | Desired Qualifications: | What you will do:
"Director, Growth Marketing - Commercial","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/00d0bdc5-89ad-4182-8512-ab0a028953f6,596,True,compensation,False,,True,5,mixed,10,6,0,23,8,1,0,4,False,0,False,About the role: | Additional Desired Experience and Skills | Key Responsibilities: | What Success Looks Like: | What Would Make You a Good Fit:
Electrical Engineer (all levels),"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/f0c26a3c-d999-4dc2-8812-b3835f633ded,244,True,compensation,False,,True,2,all-colon,4,2,0,13,2,0,0,4,False,0,False,About the role: | What makes you a good fit:
